,date,text,likes,views
33,2024-12-20 08:31:33,"жиза, девочки?)😂",55,1758
34,2024-12-19 11:54:24,"Насладись чудесным вкусом бабл ти вместе с DBT!🧋 Скидка студентам 15,9%🫂",42,1982
35,2024-12-18 12:43:33,"🎉 Double Bubble Tea открылся в ТЦ Пятая Авеню!   Друзья, спешим поделиться отличной новостью! Наше уютное кафе Double Bubble Tea теперь радует своих гостей в ТЦ Пятая Авеню! Заходите и насладитесь любимыми напитками и новинками в новом, стильном месте.  А еще у нас есть отличная новость для любителей вкусных вафель! В нашем кафе в ТЦ Пятая Авеню вы можете попробовать наши фирменные, нежные и хрустящие вафли – идеальное дополнение к вашему любимому бабл ти! 😋  Ищем сотрудников!  В связи с расширением сети мы ищем активных и позитивных сотрудников в наше кафе в Москве! Если вы любите бабл ти, общительны и хотите работать в дружной команде, вам необходимо обратиться по номеру:  8 (904) 236-67-76  Ждем вас в Double Bubble Tea в ТЦ Пятая Авеню и в нашей дружной команде! 😊",6,1185
36,2024-12-16 08:47:41,"Идеальные подарки к Новому году от Double Bubble Tea! 🎄  Задумываетесь, что подарить друзьям и близким на Новый год? Double Bubble Tea подготовил для вас лучшие варианты подарков, которые точно понравятся каждому! 🎁  • Подарочные сертификаты: Самый универсальный подарок! Пусть ваши близкие выберут любой напиток из нашего меню. Сертификаты на любую сумму!  • Стильные брелоки: Милые и практичные брелоки с логотипом Double Bubble Tea – отличный сувенир для любителей бабл ти.  • Удобные сумочки для стаканчиков: Защитите свой любимый напиток от холода и случайных повреждений с помощью наших симпатичных сумочек!  • Яркие шопперы: Стильные и вместительные шопперы с нашим логотипом – идеальный вариант для повседневного использования.  • Японские сладости: Порадуйте своих близких изысканными японскими сладостями – это настоящая вкусовая феерия!  Порадуйте своих родных и друзей вкусными и оригинальными презентами от Double Bubble Tea! ✨",10,1334
37,2024-12-15 14:59:10,"ИЩЕМ СОТРУДНИКОВ В СТРЕМИТЕЛЬНО РАСТУЩУЮ КОМПАНИЮ - double bubble tea🧋  Те, кто давно за нами следят, знают, что мы каждый месяц открываем новые локации в Санкт-Петербурге, Москве, Казани, Саратове, Луганске и Петрозаводске!   Именно поэтому мы всегда находимся в поиске сотрудников! Но что вы получите устроившись к нам? 👇🏼  1. ЗП от 80.000 📈 2. Гибкий график. Это даст вам возможность управлять своим временем более эффективно. 3. Работа недалеко от дома  Ответы на все вопросы и более подробная информация по номеру:  Москва:  8 (904) 236-67-76  Питер: +7 (912) 700-45-37",4,1147
38,2024-12-14 14:33:07,А может это все таки не сон?🤔,16,1228
39,2024-12-13 10:53:55,А вы мечтали о таком?)😋,46,2182
40,2024-12-12 11:30:49,"🍫 Встречайте новый шедевр от Double Bubble Tea: Дубайский Шоколад! 🍫  Почувствуйте роскошь и наслаждение с нашим новым напитком – Дубайский Шоколад! Это настоящий взрыв шоколадного вкуса, созданный для истинных гурманов. Богатый и насыщенный вкус, роскошная текстура – этот напиток перенесет вас в сказочный Дубай!  Что внутри?  • Отборный какао-порошок для глубокого шоколадного вкуса. • Нежное молоко для кремовой текстуры. • Нежный фисташковый сироп для тонкого орехового акцента. • Шоколадный топпинг для дополнительной шоколадной ноты. • Сливочная фисташка для изысканного вкусового дополнения. • Шоколадная крошка из темного шоколада для приятной хрустящей текстуры.  Все это создает неповторимый вкус, который вы точно запомните!  Цена: 489 рублей  Не упустите возможность попробовать этот экзотический шедевр! Ждем вас в Double Bubble Tea! ✨",49,2281
41,2024-12-11 17:18:26,"Но мы думаем, что на таком графике мечтают работать многие😂",19,1556
42,2024-12-10 12:47:22,"✨ Согрейтесь с Double Bubble Tea этой зимой! ✨  Начало зимы – время уютных вечеров и согревающих напитков. Double Bubble Tea предлагает вам окунуться в мир невероятных вкусов, которые согреют вас и подарят незабываемое наслаждение! ❄️  Встречайте наши новинки, созданные специально для того, чтобы скрасить первые зимние деньки:  • Нежный трюфель с тапиокой: Мягкий, шоколадный вкус трюфеля, дополненный жемчужной тапиокой, подарит вам ощущение уюта и тепла🍫  • Пряная вишня: Согревающий вкус спелой вишни с пряными нотками – идеальный выбор для холодного вечера🍒  • Пряный апельсин: Яркий и сочный вкус апельсина с неповторимым пряным ароматом, который наполнит вас энергией и позитивом 🍊  • Глясе с карамелью и тапиокой: Сочетание нежного вкуса глясе и сладкой карамели, дополненное тапиокой, создаёт идеальный баланс сладости и текстуры🍦  • Сливочная фисташка с тапиокой: Нежный, кремовый вкус фисташки, дополненный тапиокой, подарит вам настоящее наслаждение 🌰  Забегайте в Double Bubble Tea и согрейтесь нашими волшебными зимними напитками! ☕",27,1639
43,2024-12-08 16:13:03,"🎉 Double Bubble Tea открывает новое кафе в ТЦ ""Меркурий"", Колпино! 🎉  Друзья, мы с огромным удовольствием объявляем об открытии нашего нового уютного кафе Double Bubble Tea в ТЦ ""Меркурий"" в Колпино! ☕🧋  Теперь насладиться нашими Bubble Tea и вкуснейшими вафлями можно в новом стильном корнере✨",142,12380
44,2024-12-06 09:27:25,POV: рилсмейкер пришел к вам снимать видео😂,5,1363
45,2024-12-05 07:35:26,"Минутка веселья с DBT😂 Ставь лайк, если жиза))",8,1208
46,2024-12-04 13:44:49,Кто хотел бы так же? Признавайтесь😂,40,1594
47,2024-12-03 10:24:55,"Подарите радость с сертификатом Double Bubble Tea! 🎁  Хотите порадовать близких, друзей или коллег? Подарите им незабываемый опыт вкуса и наслаждения с сертификатом DBT! 🎉  Теперь вы можете приобрести сертификат на любую сумму, чтобы ваши друзья и родные могли насладиться нашим восхитительным бабл ти и вкуснейшими вафлями  * Выбор на любой вкус: От классических Bubble Tea до уникальных вкусов, каждый найдет свой любимый напиток! * Комфортное времяпрепровождение: Наши кафе созданы для уютного отдыха и наслаждения вкусом. * Удобство: Сертификат позволяет вашим близким выбрать любой напиток или десерт в любое удобное время. * Возможность попробовать новое: Сертификат станет отличным поводом для знакомства с новыми вкусами и открытия мира Bubble Tea. * Приятный сюрприз: Подарите радость и незабываемые впечатления!  Подробную информацию о сертификатах и способах покупки можно узнать у наших сотрудников в кафе или на нашем сайте",14,1583
48,2024-11-29 09:40:18,"Даже не говорите, что у вас не так же, мы все равно не поверим!😂",10,1420
